"","species","island","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g","sex","year"
"302","Chinstrap","Dream",52,19,197,4150,"male",2007
"303","Chinstrap","Dream",50.5,18.4,200,3400,"female",2008
"304","Chinstrap","Dream",49.5,19,200,3800,"male",2008
"305","Chinstrap","Dream",46.4,17.8,191,3700,"female",2008
"306","Chinstrap","Dream",52.8,20,205,4550,"male",2008
"24","Adelie","Biscoe",38.2,18.1,185,3950,"male",2007
"25","Adelie","Biscoe",38.8,17.2,180,3800,"male",2007
"275","Gentoo","Biscoe",45.2,14.8,212,5200,"female",2009
"276","Gentoo","Biscoe",49.9,16.1,213,5400,"male",2009
"277","Chinstrap","Dream",46.5,17.9,192,3500,"female",2007
"282","Chinstrap","Dream",45.2,17.8,198,3950,"female",2007
"283","Chinstrap","Dream",46.1,18.2,178,3250,"female",2007
